TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Theft from Vehicle,2019,4,2,16,0,5XX CARRALL ST,Central Business District,492408.03,5458534.62
Theft from Vehicle,2019,2,20,9,47,5XX CARRALL ST,Central Business District,492403.16,5458628.36
Other Theft,2019,3,6,15,37,7XX GRANVILLE ST,Central Business District,491396.06,5458846.22
Other Theft,2019,2,22,19,15,11XX ROBSON ST,West End,490910.24,5459118.24
Offence Against a Person,2019,4,3,,,OFFSET TO PROTECT PRIVACY,,0,0
Theft from Vehicle,2019,2,25,20,30,10XX BARCLAY ST,West End,490848.76,5458857.79
Mischief,2019,6,21,7,59,2X E HASTINGS ST,Central Business District,492452.86,5458751.7
Mischief,2019,6,30,17,51,2X E HASTINGS ST,Central Business District,492452.86,5458751.7
Theft from Vehicle,2019,3,3,2,0,2XX E 18TH AVE,Riley Park,492703.7,5455779.49
Theft from Vehicle,2019,3,2,19,0,2XX E 18TH AVE,Riley Park,492703.7,5455779.49
Offence Against a Person,2019,3,28,,,OFFSET TO PROTECT PRIVACY,,0,0
Theft from Vehicle,2019,5,3,0,0,66XX CHURCHILL ST,Kerrisdale,489688.91,5452588.2
Mischief,2019,6,25,15,30,79XX COLUMBIA ST,Marpole,491782.29,5451110.88
Mischief,2019,7,14,8,25,2X E HASTINGS ST,Central Business District,492452.86,5458751.7
Mischief,2019,3,27,21,0,2X E KING EDWARD AVE,Riley Park,492402.33,5455114.59
Theft from Vehicle,2019,6,2,15,30,2XX E 17TH AVE,Riley Park,492742.36,5455877.76
Theft of Vehicle,2019,2,19,22,0,14XX E 20TH AVE,Kensington-Cedar Cottage,494470.65,5455534.95
Theft from Vehicle,2019,5,3,2,0,66XX CHURCHILL ST,Kerrisdale,489686.56,5452509.06
Break and Enter Commercial,2019,5,16,22,0,6XX PIPELINE RD,Stanley Park,490124.25,5460764.88
Mischief,2019,5,17,18,0,2X W 5TH AVE,Mount Pleasant,492336.85,5457083.54
Mischief,2019,4,1,18,0,2X W 7TH AVE,Mount Pleasant,492336.55,5456880.61
Theft from Vehicle,2019,2,21,1,0,31XX E 23RD AVE,Renfrew-Collingwood,497237.1,5455216.17
Mischief,2019,6,3,5,24,2X W HASTINGS ST,Central Business District,492362.4,5458761.35
Break and Enter Residential/Other,2019,5,31,0,10,13XX E BROADWAY AVE,Kensington-Cedar Cottage,494369.51,5456623.57
Break and Enter Residential/Other,2019,4,13,0,0,31XX W 35TH AVE,Dunbar-Southlands,487265.1,5454195.25
Break and Enter Commercial,2019,6,6,5,15,6XX NELSON ST,Central Business District,491124.92,5458441.58
Theft from Vehicle,2019,6,15,6,0,6XX E GEORGIA ST,Strathcona,493411.87,5458405.27
